"Date","Price","Open","High","Low","Change %"
"Aug 13, 2018","0.7600","0.7604","0.7610","0.7591","-0.06%"
"Aug 12, 2018","0.7605","0.7594","0.7615","0.7594","-0.04%"
"Aug 10, 2018","0.7608","0.7662","0.7668","0.7602","-0.72%"
"Aug 09, 2018","0.7663","0.7680","0.7693","0.7654","-0.21%"
"Aug 08, 2018","0.7679","0.7661","0.7690","0.7621","0.23%"
"Aug 07, 2018","0.7661","0.7691","0.7717","0.7648","-0.38%"
"Aug 06, 2018","0.7690","0.7697","0.7700","0.7668","0.08%"
"Aug 05, 2018","0.7684","0.7695","0.7698","0.7679","-0.19%"
"Aug 03, 2018","0.7698","0.7679","0.7712","0.7669","0.22%"
"Aug 02, 2018","0.7681","0.7691","0.7698","0.7669","-0.12%"
"Aug 01, 2018","0.7690","0.7689","0.7708","0.7672","0.03%"
"Jul 31, 2018","0.7688","0.7671","0.7702","0.7635","0.22%"
"Jul 30, 2018","0.7671","0.7661","0.7698","0.7646","0.27%"
"Jul 29, 2018","0.7650","0.7661","0.7661","0.7650","-0.14%"
"Jul 27, 2018","0.7661","0.7649","0.7669","0.7645","0.16%"
"Jul 26, 2018","0.7649","0.7667","0.7679","0.7636","-0.21%"
"Jul 25, 2018","0.7665","0.7602","0.7679","0.7594","0.83%"
"Jul 24, 2018","0.7602","0.7592","0.7614","0.7580","0.14%"
"Jul 23, 2018","0.7591","0.7611","0.7625","0.7588","-0.43%"
"Jul 22, 2018","0.7623","0.7614","0.7629","0.7607","0.26%"
"Jul 20, 2018","0.7604","0.7533","0.7627","0.7524","0.90%"
"Jul 19, 2018","0.7536","0.7594","0.7600","0.7524","-0.74%"
"Jul 18, 2018","0.7592","0.7581","0.7600","0.7541","0.15%"
"Jul 17, 2018","0.7581","0.7611","0.7629","0.7564","-0.42%"
"Jul 16, 2018","0.7613","0.7597","0.7629","0.7596","0.17%"
"Jul 15, 2018","0.7600","0.7599","0.7605","0.7593","0.03%"
"Jul 13, 2018","0.7598","0.7602","0.7607","0.7570","-0.05%"
"Jul 12, 2018","0.7602","0.7572","0.7606","0.7564","0.40%"
"Jul 11, 2018","0.7572","0.7626","0.7655","0.7567","-0.72%"
"Jul 10, 2018","0.7627","0.7631","0.7635","0.7606","-0.03%"
"Jul 09, 2018","0.7629","0.7639","0.7654","0.7620","-0.09%"
"Jul 08, 2018","0.7636","0.7639","0.7643","0.7629","-0.11%"
"Jul 06, 2018","0.7644","0.7613","0.7649","0.7603","0.39%"
"Jul 05, 2018","0.7614","0.7609","0.7627","0.7598","0.07%"
"Jul 04, 2018","0.7609","0.7614","0.7630","0.7599","-0.03%"
"Jul 03, 2018","0.7611","0.7584","0.7616","0.7570","0.36%"
"Jul 02, 2018","0.7584","0.7609","0.7611","0.7561","-0.28%"
"Jul 01, 2018","0.7605","0.7603","0.7614","0.7597","-0.13%"
"Jun 29, 2018","0.7615","0.7548","0.7617","0.7535","0.86%"
"Jun 28, 2018","0.7550","0.7496","0.7553","0.7490","0.71%"
"Jun 27, 2018","0.7497","0.7515","0.7533","0.7470","-0.21%"
"Jun 26, 2018","0.7513","0.7520","0.7531","0.7501","-0.11%"
"Jun 25, 2018","0.7521","0.7532","0.7539","0.7504","-0.13%"
"Jun 24, 2018","0.7531","0.7535","0.7540","0.7525","-0.06%"
"Jun 22, 2018","0.7535","0.7511","0.7542","0.7472","0.32%"
"Jun 21, 2018","0.7511","0.7512","0.7528","0.7498","-0.01%"
"Jun 20, 2018","0.7512","0.7527","0.7538","0.7506","-0.21%"
"Jun 19, 2018","0.7528","0.7575","0.7579","0.7523","-0.63%"
"Jun 18, 2018","0.7576","0.7578","0.7600","0.7553","-0.01%"
"Jun 17, 2018","0.7577","0.7583","0.7583","0.7569","0.03%"
"Jun 15, 2018","0.7574","0.7632","0.7635","0.7570","-0.76%"
"Jun 14, 2018","0.7632","0.7702","0.7723","0.7627","-0.90%"
"Jun 13, 2018","0.7701","0.7682","0.7721","0.7661","0.23%"
"Jun 12, 2018","0.7683","0.7705","0.7706","0.7674","-0.30%"
"Jun 11, 2018","0.7706","0.7708","0.7720","0.7675","-0.06%"
"Jun 10, 2018","0.7711","0.7693","0.7725","0.7693","-0.32%"
"Jun 08, 2018","0.7736","0.7709","0.7741","0.7668","0.35%"
"Jun 07, 2018","0.7709","0.7725","0.7732","0.7691","-0.22%"
"Jun 06, 2018","0.7726","0.7711","0.7778","0.7705","0.21%"
"Jun 05, 2018","0.7710","0.7734","0.7745","0.7652","-0.31%"
"Jun 04, 2018","0.7734","0.7722","0.7753","0.7713","0.27%"
"Jun 03, 2018","0.7713","0.7718","0.7725","0.7709","-0.13%"
"Jun 01, 2018","0.7723","0.7718","0.7734","0.7686","0.08%"
"May 31, 2018","0.7717","0.7768","0.7803","0.7697","-0.66%"
"May 30, 2018","0.7768","0.7682","0.7791","0.7667","1.13%"
"May 29, 2018","0.7681","0.7698","0.7712","0.7664","-0.22%"
"May 28, 2018","0.7698","0.7710","0.7716","0.7680","-0.11%"
"May 27, 2018","0.7706","0.7713","0.7755","0.7705","-0.04%"
"May 25, 2018","0.7709","0.7763","0.7767","0.7699","-0.68%"
"May 24, 2018","0.7762","0.7792","0.7795","0.7739","-0.40%"
"May 23, 2018","0.7793","0.7801","0.7806","0.7742","-0.10%"
"May 22, 2018","0.7801","0.7820","0.7849","0.7798","-0.26%"
"May 21, 2018","0.7821","0.7763","0.7825","0.7758","0.75%"
"May 18, 2018","0.7763","0.7807","0.7819","0.7745","-0.59%"
"May 17, 2018","0.7809","0.7819","0.7845","0.7798","-0.15%"
"May 16, 2018","0.7821","0.7766","0.7829","0.7764","0.68%"
"May 15, 2018","0.7768","0.7806","0.7819","0.7738","-0.47%"
"May 14, 2018","0.7805","0.7818","0.7844","0.7804","-0.15%"
"May 11, 2018","0.7817","0.7833","0.7857","0.7810","-0.20%"
"May 10, 2018","0.7833","0.7780","0.7849","0.7774","0.68%"
"May 09, 2018","0.7780","0.7722","0.7798","0.7705","0.75%"
"May 08, 2018","0.7722","0.7763","0.7768","0.7693","-0.53%"
"May 07, 2018","0.7763","0.7784","0.7790","0.7752","-0.27%"
"May 04, 2018","0.7784","0.7784","0.7792","0.7741","0.00%"
"May 03, 2018","0.7784","0.7762","0.7805","0.7747","0.28%"
"May 02, 2018","0.7762","0.7784","0.7812","0.7759","-0.27%"
"May 01, 2018","0.7783","0.7789","0.7802","0.7743","-0.04%"
"Apr 30, 2018","0.7786","0.7790","0.7810","0.7766","-0.12%"
"Apr 27, 2018","0.7795","0.7772","0.7799","0.7752","0.30%"
"Apr 26, 2018","0.7772","0.7784","0.7801","0.7759","-0.18%"
"Apr 25, 2018","0.7786","0.7792","0.7802","0.7752","-0.08%"
"Apr 24, 2018","0.7792","0.7783","0.7805","0.7773","0.13%"
"Apr 23, 2018","0.7782","0.7840","0.7844","0.7776","-0.70%"
"Apr 20, 2018","0.7837","0.7893","0.7917","0.7831","-0.70%"
"Apr 19, 2018","0.7892","0.7917","0.7947","0.7887","-0.33%"
"Apr 18, 2018","0.7918","0.7969","0.7971","0.7899","-0.65%"
"Apr 17, 2018","0.7970","0.7956","0.7984","0.7948","0.15%"
"Apr 16, 2018","0.7958","0.7933","0.7962","0.7922","0.38%"
