Date,Price,Open,High,Low,Change
2018-07-25,0.7665,0.7602,0.7679,0.7594,0.83%
2018-07-24,0.7602,0.7592,0.7614,0.758,0.14%
2018-07-23,0.7591,0.7611,0.7625,0.7588,-0.43%
2018-07-22,0.7623,0.7614,0.7629,0.7607,0.26%
2018-07-20,0.7604,0.7533,0.7627,0.7524,0.90%
2018-07-19,0.7536,0.7594,0.76,0.7524,-0.74%
2018-07-18,0.7592,0.7581,0.76,0.7541,0.15%
2018-07-17,0.7581,0.7611,0.7629,0.7564,-0.42%
2018-07-16,0.7613,0.7597,0.7629,0.7596,0.17%
2018-07-15,0.76,0.7599,0.7605,0.7593,0.03%
2018-07-13,0.7598,0.7602,0.7607,0.757,-0.05%
2018-07-12,0.7602,0.7572,0.7606,0.7564,0.40%
2018-07-11,0.7572,0.7626,0.7655,0.7567,-0.72%
2018-07-10,0.7627,0.7631,0.7635,0.7606,-0.03%
2018-07-09,0.7629,0.7639,0.7654,0.762,-0.09%
2018-07-08,0.7636,0.7639,0.7643,0.7629,-0.11%
2018-07-06,0.7644,0.7613,0.7649,0.7603,0.39%
2018-07-05,0.7614,0.7609,0.7627,0.7598,0.07%
2018-07-04,0.7609,0.7614,0.763,0.7599,-0.03%
2018-07-03,0.7611,0.7584,0.7616,0.757,0.36%
2018-07-02,0.7584,0.7609,0.7611,0.7561,-0.28%
2018-07-01,0.7605,0.7603,0.7614,0.7597,-0.13%
2018-06-29,0.7615,0.7548,0.7617,0.7535,0.86%
2018-06-28,0.755,0.7496,0.7553,0.749,0.71%
2018-06-27,0.7497,0.7515,0.7533,0.747,-0.21%
2018-06-26,0.7513,0.752,0.7531,0.7501,-0.11%
2018-06-25,0.7521,0.7532,0.7539,0.7504,-0.13%
2018-06-24,0.7531,0.7535,0.754,0.7525,-0.06%
2018-06-22,0.7535,0.7511,0.7542,0.7472,0.32%
2018-06-21,0.7511,0.7512,0.7528,0.7498,-0.01%
2018-06-20,0.7512,0.7527,0.7538,0.7506,-0.21%
2018-06-19,0.7528,0.7575,0.7579,0.7523,-0.63%
2018-06-18,0.7576,0.7578,0.76,0.7553,-0.01%
2018-06-17,0.7577,0.7583,0.7583,0.7569,0.03%
2018-06-15,0.7574,0.7632,0.7635,0.757,-0.76%
2018-06-14,0.7632,0.7702,0.7723,0.7627,-0.90%
2018-06-13,0.7701,0.7682,0.7721,0.7661,0.23%
2018-06-12,0.7683,0.7705,0.7706,0.7674,-0.30%
2018-06-11,0.7706,0.7708,0.772,0.7675,-0.06%
2018-06-10,0.7711,0.7693,0.7725,0.7693,-0.32%
2018-06-08,0.7736,0.7709,0.7741,0.7668,0.35%
2018-06-07,0.7709,0.7725,0.7732,0.7691,-0.22%
2018-06-06,0.7726,0.7711,0.7778,0.7705,0.21%
2018-06-05,0.771,0.7734,0.7745,0.7652,-0.31%
2018-06-04,0.7734,0.7722,0.7753,0.7713,0.27%
2018-06-03,0.7713,0.7718,0.7725,0.7709,-0.13%
2018-06-01,0.7723,0.7718,0.7734,0.7686,0.08%
2018-05-31,0.7717,0.7768,0.7803,0.7697,-0.66%
2018-05-30,0.7768,0.7682,0.7791,0.7667,1.13%
2018-05-29,0.7681,0.7698,0.7712,0.7664,-0.22%
2018-05-28,0.7698,0.771,0.7716,0.768,-0.11%
2018-05-27,0.7706,0.7713,0.7755,0.7705,-0.04%
2018-05-25,0.7709,0.7763,0.7767,0.7699,-0.68%
2018-05-24,0.7762,0.7792,0.7795,0.7739,-0.40%
2018-05-23,0.7793,0.7801,0.7806,0.7742,-0.10%
2018-05-22,0.7801,0.782,0.7849,0.7798,-0.26%
2018-05-21,0.7821,0.7763,0.7825,0.7758,0.75%
2018-05-18,0.7763,0.7807,0.7819,0.7745,-0.59%
2018-05-17,0.7809,0.7819,0.7845,0.7798,-0.15%
2018-05-16,0.7821,0.7766,0.7829,0.7764,0.68%
2018-05-15,0.7768,0.7806,0.7819,0.7738,-0.47%
2018-05-14,0.7805,0.7818,0.7844,0.7804,-0.15%
2018-05-11,0.7817,0.7833,0.7857,0.781,-0.20%
2018-05-10,0.7833,0.778,0.7849,0.7774,0.68%
2018-05-09,0.778,0.7722,0.7798,0.7705,0.75%
2018-05-08,0.7722,0.7763,0.7768,0.7693,-0.53%
2018-05-07,0.7763,0.7784,0.779,0.7752,-0.27%
2018-05-04,0.7784,0.7784,0.7792,0.7741,0.00%
2018-05-03,0.7784,0.7762,0.7805,0.7747,0.28%
2018-05-02,0.7762,0.7784,0.7812,0.7759,-0.27%
2018-05-01,0.7783,0.7789,0.7802,0.7743,-0.04%
2018-04-30,0.7786,0.779,0.781,0.7766,-0.12%
2018-04-27,0.7795,0.7772,0.7799,0.7752,0.30%
2018-04-26,0.7772,0.7784,0.7801,0.7759,-0.18%
2018-04-25,0.7786,0.7792,0.7802,0.7752,-0.08%
2018-04-24,0.7792,0.7783,0.7805,0.7773,0.13%
2018-04-23,0.7782,0.784,0.7844,0.7776,-0.70%
2018-04-20,0.7837,0.7893,0.7917,0.7831,-0.70%
2018-04-19,0.7892,0.7917,0.7947,0.7887,-0.33%
