Text,Date
"A Rocket has not been launched by North Korea in 9 months. Likewise, no Nuclear Tests. Japan is happy, all of Asia is happy. But the Fake News is saying, without ever asking me (always anonymous sources), that I am angry because it is not going fast enough. Wrong, very happy!",Mon Jul 23 13:06:18 +0000 2018
"When you hear the Fake News talking negatively about my meeting with President Putin, and all that I gave up, remember, I gave up NOTHING, we merely talked about future benefits for both countries. Also, we got along very well, which is a good thing, except for the Corrupt Media!",Mon Jul 23 12:25:02 +0000 2018
".....Carter Page wasnt a spy, wasnt an agent of the Russians - he would have cooperated with the FBI. It was a fraud and a hoax designed to target Trump. Tom Fitton @JudicialWatch A disgrace to America. They should drop the discredited Mueller Witch Hunt now!",Mon Jul 23 11:09:39 +0000 2018
"So President Obama knew about Russia before the Election. Why didnt he do something about it? Why didnt he tell our campaign? Because it is all a big hoax, thats why, and he thought Crooked Hillary was going to win!!!",Sun Jul 22 22:23:52 +0000 2018
I had a GREAT meeting with Putin and the Fake News used every bit of their energy to try and disparage it. So bad for our country!,Sun Jul 22 13:15:18 +0000 2018
"I got severely criticized by the Fake News Media for being too nice to President Putin. In the Old Days they would call it Diplomacy. If I was loud &amp; vicious, I would have been criticized for being too tough. Remember when they said I was too tough with Chairman Kim? Hypocrites!",Fri Jul 20 21:50:30 +0000 2018
"RT @realDonaldTrump: I told you so! The European Union just slapped a Five Billion Dollar fine on one of our great companies, Google. They",Fri Jul 20 14:39:21 +0000 2018
"RT @realDonaldTrump: The Summit with Russia was a great success, except with the real enemy of the people, the Fake News Media. I look forw",Fri Jul 20 14:39:02 +0000 2018
Farmers have been on a downward trend for 15 years. The price of soybeans has fallen 50% since 5 years before the Election. A big reason is bad (terrible) Trade Deals with other countries. They put on massive Tariffs and Barriers. Canada charges 275% on Dairy. Farmers will WIN!,Fri Jul 20 13:04:44 +0000 2018
"China, the European Union and others have been manipulating their currencies and interest rates lower, while the U.S. is raising rates while the dollars gets stronger and stronger with each passing day - taking away our big competitive edge. As usual, not a level playing field...",Fri Jul 20 12:43:05 +0000 2018
Trump recognized Russian Meddling MANY TIMES https://t.co/T8MERS93wI,Thu Jul 19 13:35:21 +0000 2018
"....proliferation, cyber attacks, trade, Ukraine, Middle East peace, North Korea and more. There are many answers, some easy and some hard, to these problems...but they can ALL be solved!",Thu Jul 19 13:30:11 +0000 2018
"The Summit with Russia was a great success, except with the real enemy of the people, the Fake News Media. I look forward to our second meeting so that we can start implementing some of the many things discussed, including stopping terrorism, security for Israel, nuclear........",Thu Jul 19 13:24:58 +0000 2018
"I told you so! The European Union just slapped a Five Billion Dollar fine on one of our great companies, Google. They truly have taken advantage of the U.S., but not for long!",Thu Jul 19 13:11:17 +0000 2018
Trump recognized Russian Meddling MANY TIMES. Thank you to @foxandfriends and @FoxNews for actually showing the clips. The Fake News wants no part of that narrative! Too bad they dont want to focus on all of the ECONOMIC and JOBS records being set.,Thu Jul 19 11:13:48 +0000 2018
"The Fake News Media wants so badly to see a major confrontation with Russia, even a confrontation that could lead to war. They are pushing so recklessly hard and hate the fact that Ill probably have a good relationship with Putin. We are doing MUCH better than any other country!",Thu Jul 19 10:59:26 +0000 2018
Some people HATE the fact that I got along well with President Putin of Russia. They would rather go to war than see this. Its called Trump Derangement Syndrome!,Wed Jul 18 11:27:59 +0000 2018
"....Russia has agreed to help with North Korea, where relationships with us are very good and the process is moving along. There is no rush, the sanctions remain! Big benefits and exciting future for North Korea at end of process!",Wed Jul 18 10:16:50 +0000 2018
"While the NATO meeting in Brussels was an acknowledged triumph, with billions of dollars more being put up by member countries at a faster pace, the meeting with Russia may prove to be, in the long run, an even greater success. Many positive things will come out of that meeting..",Wed Jul 18 10:08:36 +0000 2018
So many people at the higher ends of intelligence loved my press conference performance in Helsinki. Putin and I discussed many important subjects at our earlier meeting. We got along well which truly bothered many haters who wanted to see a boxing match. Big results will come!,Wed Jul 18 09:53:41 +0000 2018
"The meeting between President Putin and myself was a great success, except in the Fake News Media!",Wed Jul 18 00:21:54 +0000 2018
"While I had a great meeting with NATO, raising vast amounts of money, I had an even better meeting with Vladimir Putin of Russia. Sadly, it is not being reported that way - the Fake News is going Crazy!",Tue Jul 17 14:22:28 +0000 2018
"I had a great meeting with NATO. They have paid $33 Billion more and will pay hundreds of Billions of Dollars more in the future, only because of me. NATO was weak, but now it is strong again (bad for Russia). The media only says I was rude to leaders, never mentions the money!",Tue Jul 17 13:53:39 +0000 2018
"A productive dialogue is not only good for the United States and good for Russia, but it is good for the world. #HELSINKI2018 https://t.co/Q2Y1PhM9au",Mon Jul 16 20:34:07 +0000 2018
"Our relationship with Russia has NEVER been worse thanks to many years of U.S. foolishness and stupidity and now, the Rigged Witch Hunt!",Mon Jul 16 06:05:29 +0000 2018
"President Obama thought that Crooked Hillary was going to win the election, so when he was informed by the FBI about Russian Meddling, he said it couldnt happen, was no big deal, &amp; did NOTHING about it. When I won it became a big deal and the Rigged Witch Hunt headed by Strzok!",Mon Jul 16 05:37:05 +0000 2018
RT @SecPompeo: Landed in #Finland for #helsinki2018 where @POTUS &amp; Prez Putin are set to discuss US/Russian relations. POTUS meeting is in,Mon Jul 16 04:28:24 +0000 2018
"Congratulations to France, who played extraordinary soccer, on winning the 2018 World Cup. Additionally, congratulations to President Putin and Russia for putting on a truly great World Cup Tournament -- one of the best ever!",Sun Jul 15 17:03:03 +0000 2018
"Heading to Helsinki, Finland  looking forward to meeting with President Putin tomorrow. Unfortunately, no matter how well I do at the Summit, if I was given the great city of Moscow as retribution for all of the sins and evils committed by Russia...",Sun Jul 15 16:18:10 +0000 2018
"There hasnt been a missile or rocket fired in 9 months in North Korea, there have been no nuclear tests and we got back our hostages. Who knows how it will all turn out in the end, but why isnt the Fake News talking about these wonderful facts? Because it is FAKE NEWS!",Sun Jul 15 16:11:13 +0000 2018
"RT @realDonaldTrump: The stories you heard about the 12 Russians yesterday took place during the Obama Administration, not the Trump Admini",Sun Jul 15 13:40:55 +0000 2018
